Ekofisiologi Hewan Air (1-K)|3 (2 - 1)|MSP522_1_K
Ekofisiologi Hewan Air (1-P)|3 (2 - 1)|MSP522_1_P
Pengelolaan Sumberdaya Perairan (1-K)|3 (2 - 1)|MSP612_1_K
Pengelolaan Sumberdaya Perairan (1-P)|3 (2 - 1)|MSP612_1_P
Eutrofikasi & Mikrobiologi Perairan (1-K)|3 (2 - 1)|MSP61A_1_K
Eutrofikasi & Mikrobiologi Perairan (1-P)|3 (2 - 1)|MSP61A_1_P
Benthologi (1-K)|3 (2 - 1)|MSP61B_1_K
Konservasi Sumberdaya Ikan (1-K)|3 (2 - 1)|MSP628_1_K
Konservasi Sumberdaya Ikan (1-P)|3 (2 - 1)|MSP628_1_P
Ekotoksikologi Perairan Lanjutan (1-K)|3 (2 - 1)|MSP629_1_K
Bioekologi Larva Akuatik (1-K)|3 (2 - 1)|MSP62A_1_K
Bioekologi Larva Akuatik (1-P)|3 (2 - 1)|MSP62A_1_P
Mamalogi dan Herpetologi Lanjutan (1-K)|3 (2 - 1)|MSP62B_1_K
Pengkajian Stok Ikan (1-K)|3 (2 - 1)|MSP631_1_K
Pengkajian Stok Ikan (1-P)|3 (2 - 1)|MSP631_1_P
Model dan Simulasi Perikanan (1-K)|3 (2 - 1)|MSP632_1_K
Pengelolaan Sumberdaya Perikanan  (1-K)|3 (2 - 1)|MSP633_1_K
Analisis Multifaktor Sumberdaya Perairan (1-K)|3 (2 - 1)|MSP63C_1_K
Analisis Multifaktor Sumberdaya Perairan (1-P)|3 (2 - 1)|MSP63C_1_P
Genetika Populasi dan Molekular (1-K)|3 (2 - 1)|MSP63D_1_K
Genetika Populasi dan Molekular (1-P)|3 (2 - 1)|MSP63D_1_P
Ekofisiologi Hewan Air Lanjutan (1-K)|3 (3 - 0)|MSP722_1_K
Reproduksi dan Pertumbuhan Moluska dan Krustasea (1-K)|3 (2 - 1)|MSP723_1_K
Metodologi Penelitian dan Penyajian Ilmiah (1-K)|3 (2 - 1)|PTN590_1_K
Metodologi Penelitian dan Penyajian Ilmiah (1-P)|3 (2 - 1)|PTN590_1_P
Metodologi Penelitian dan Penyajian Ilmiah (2-P)|3 (2 - 1)|PTN590_2_P
Taksonomi Serangga (1-K)|3 (2 - 1)|PTN612_1_K
Taksonomi Serangga (1-P)|3 (2 - 1)|PTN612_1_P
Pengendalian Hayati Hama Tumbuhan (1-K)|3 (2 - 1)|PTN613_1_K
Pengendalian Hayati Hama Tumbuhan (1-P)|3 (2 - 1)|PTN613_1_P
Patologi Serangga (1-K)|3 (2 - 1)|PTN617_1_K
Patologi Serangga (1-P)|3 (2 - 1)|PTN617_1_P
Patogenesis Tumbuhan dan Respon Inang (1-K)|3 (2 - 1)|PTN626_1_K
Patogenesis Tumbuhan dan Respon Inang (1-P)|3 (2 - 1)|PTN626_1_P
Patologi Benih (1-K)|3 (2 - 1)|PTN627_1_K
Patologi Benih (1-P)|3 (2 - 1)|PTN627_1_P
Bioekologi Mikroba Endofit (1-K)|3 (2 - 1)|PTN629_1_K
Bioekologi Mikroba Endofit (1-P)|3 (2 - 1)|PTN629_1_P
Biokimia Serangga (1-K)|3 (2 - 1)|PTN710_1_K
Biokimia Serangga (1-P)|3 (2 - 1)|PTN710_1_P
Interaksi Inang dan Parasitoid (1-K)|3 (2 - 1)|PTN712_1_K
Interaksi Inang dan Parasitoid (1-P)|3 (2 - 1)|PTN712_1_P
Geoteknik (1-K)|3 (2 - 1)|SIL511_1_K
Analisis Statistika (1-K)|3 (2 - 1)|STK511_1_K
Analisis Statistika (1-P)|3 (2 - 1)|STK511_1_P
Analisis Statistika (2-K)|3 (2 - 1)|STK511_2_K
Analisis Statistika (2-P)|3 (2 - 1)|STK511_2_P
Analisis Statistika (3-K)|3 (2 - 1)|STK511_3_K
Analisis Statistika (3-P)|3 (2 - 1)|STK511_3_P
Analisis Statistika (4-K)|3 (2 - 1)|STK511_4_K
Analisis Statistika (4-P)|3 (2 - 1)|STK511_4_P
Analisis Statistika (5-K)|3 (2 - 1)|STK511_5_K
Analisis Statistika (5-P)|3 (2 - 1)|STK511_5_P
Komputasi Statistik (1-K)|3 (2 - 1)|STK571_1_K
Komputasi Statistik (1-P)|3 (2 - 1)|STK571_1_P
Analisis Peubah Ganda (1-K)|3 (2 - 1)|STK632_1_K
Analisis Peubah Ganda (1-P)|3 (2 - 1)|STK632_1_P
Analisis Data Lanjut (1-K)|3 (2 - 1)|STK633_1_K
Analisis Data Lanjut (1-P)|3 (2 - 1)|STK633_1_P
Psikometrika (1-K)|3 (2 - 1)|STK652_1_K
Psikometrika (1-P)|3 (2 - 1)|STK652_1_P
Topik Khusus Statistika (1-K)|3 (2 - 1)|STK700_1_K
Topik Khusus Statistika (1-P)|3 (2 - 1)|STK700_1_P
